Review,NPS
"  Sydney to Tokyo via Guangzhou. The crew are properly trained and care about what they are doing. Western passengers should be careful to avoid complicated questions as English skills are quite good, but not to conversational level. The food was a bonus, some of the best airline food I have had. There was a leek and potato soup that was just fantastic. Fish also to a very high standard. Wines were better than expected. Food choice was much better on Sydney to Guangzhou flight than flight departing Guangzhou. Lie flat seats on the A330 are comfortable and easy to use. A very good quilt and ammenities pack provided. The price of business class makes them affordable, plus Guangzhou is a good sector hub for Australia as it does away with the 14 hour leg to Europe.",Promoter
" New York to Pittsburgh operated by Delta. A nightmare. After 21-hour flying from Asia to JFK with my little kids, a 7 year and a 2 year old, we supposed to have only 3 hours layover at JFK and a 2 hour flight to get home. The last flight was delayed totally 12 hours including 1 hour in plane. The nightmare was, they extended the delay every hour and then every 20 minutes and they changed the gate for almost every time. We had to stay in the terminal, moved every time they extended the delay and changed gate. Our kids could not take a rest after 21 hours flying from Asia. They slept while sitting on the ground, in the crowd, in front of the gate to wait. I talked to Delta reps, they said ""sorry"" and turned their back. I did not see that they cared or felt sorry. It is the word they use to avoid troubles. It was not only our flight. Delta's terminal was a mess with many flights canceled, delayed, changed gate. We used to have problems with Delta. If there was another choice, we did not travel with Delta. Value for money - No. Cost to fly with Delta is not low. Ground service - Delta attendants are robots. They do not care. Seat comfort - small, narrow. Cabin staff service - The only thing they can do is to bring you water. Conclusion: very high price for very low cost flight.",Detractor
LGW to Istanbul on 1 April return 6 April. As always the flight was on time the service friendly and the food good. Fantastic value for money and couldn't fault anything.,Promoter
  Thumbs up to Kuwait Airways. We 5 passengers booked flights to and from Delhi to Frankfurt on 12th May and 23rd May respectively. The journey and food was excellent. The flight attendants and Inflight entertainment facilities were very good. Could improve by having wifi on board. Moreover the luggage allowance was good at 53 kgs (23 + 23 + 7). I would recommend this airline.,Promoter
"New York JFK to Munich in economy, from Munich to Zagreb upgraded for 115 U$ to business as wanted to have a lounge access for 3.5 hr layover in MUC. I had sports equipment with me which needed to be registered by phone in advance and that went smooth by knowledgeable and helpful agent. Mobile check-in using LH app was easy but luggage drop-off was a bit slow due a large passengers group checking in just before me. Refurbished and clean A340-600 with new IFE screens with good content, nice food and beverages, professional and welcoming crew who always give great service and make me feel like a guest, not only a passenger. On-time arrival in MUC, layover was spent in business lounge at H gates. Breakfast in the lounge was adequate with both hot and cold options, fruits, diary products, full bar and fast wifi internet. Clean and comfortable CRJ9 to Zagreb boarded from remote gate. Tasty and very nice presented brunch served for this 1h flight with 2 FAs checking am I happy with everything on the flight every time they pass by. I am impressed with consistency of Lufthansa on-board and ground services and gradual improvements made to remain competitive. If LH would make improvements in the Miles & More program and pricing to SE Asia as well they would be my carrier of choice not only on transatlantic routes.",Promoter
" Frankfurt to Toronto. I am a Canadian living in Germany flying to visit my parents with an infant and a toddler and my husband. Right at the beginning of the flight we were treated so nice and an Air hostess made us feel welcomed, she was so kind and understanding. I am really glad that I chose Air Canada for our trip.",Promoter
"  Kuala Lumpur to Paris and back via Doha in business class. You may experience some very minor hiccups or confusion on the ground, especially ex-Doha (e.g. I'm not sure why placing the correct luggage tag on my suitcase required a meeting of three ground staff - they never explained what the issue was. I got the impression that European travelers tend to receive colder treatment than others, but that is not exclusive to Doha airport. But once you're in the air, everything is wonderful. The crew treat you like an old friend. The service comes across as not only efficient and courteous but warm, sincere and lighthearted when the occasion calls for it. Well done. I will be back.",Promoter
" I flew Frontier on 4/16/18 from Trenton to Detroit for one day for an interview. My 6am flight was delayed by 4.5 hrs for a mechanical malfunction. I missed my interview. Then, the return flight that evening was delayed for 2 hrs due to another mechanical malfunction. I never got any text/email announcement regarding the delays. I now know why Frontier is so cheap â€” it's not worth it even for rock bottom prices.",Detractor
"Traveling with 2 persons and 2 cats from Saint Petersburg to Santiago de Compostela in Spain for 590 Euro. The Vueling aircraft to depart at 6 am broke down at arrival in our departure aiport Saint petersburg in Russia. Staff had us leav main terminal area to hide us in back room terminal area at unused gate first. Then half an hour later we had to go all the way back an leave gate area altogether to check in counters, where we were told that plane would only depart at 4 pm, so 1 hours later, as a replacement crew and plane was being sent all the way from Spain. No food and beverage coupons were issued thn. People like us who stayd at private addresses in LED were told to travel back at pur own expense to those homes (1.5 hour away) and wait for a call to come back to airport later. Taxi costs would be reimbursed. Vueling offered fake alternative to cancel flight, but would only refund money two weeks later, which was useless at that moment of course. Despite requests to tell what woudl happen with connecting flights no staff member wanted to commit to anything but told us they would take care of them. Upon picking up luggage (complex operation) which was already in other area checked in and driving back far way to house, we got a call shortly after to return that flight would leave 3 hours earlier. Upon arrival at LED airport restaurant vouchers were issued but useless as flight would leave in less than an hour and restaurants were all booked. So we had no food since coupons can only be spent in restaurants. Plane still left half an hour late so in total 7.5 hour late and they were selling drinks and food on the plane instead of providing passengers with them for free for the inconvenience. No sense of redemption. Upon arrival in Barcelona the information given for where the counter for transits would be was wrong. Eventually we found the counter ad they confirmed the problem of getting cnecting flights and referred us to another counter with a waiting line. At that counter they told us there was no more connecting flight to SCQ (Santiago) , which any dim wit would know, so no news. They could only offer us a flight to an airport 1 1/2 hour away from Santiago (plus same distance from our home) plus bus transportation to Santiago or stay overnight in Barcelona (imagine, with 2 cats) in hotel and fly the next day direct. A restaurant coupon was given again, again useless as the flight would leave very soon. So we still had no food. We took the flight to the other city and on arrival there was no one to welcome us for the transfer to a cab or bus to Santiago, plus it was already very late. So we had to rent at our own expense an expensive car and had to cancel with costs our own prepaid 5 day rental in Santiago and drive our rental home instead of to Santiago. It all cost us 100s of Euros extra and of course the stress of an extra travel time of 11 hours, plus the extra time spent on returning a car rental the next days in a different far away town. Upon contacting Vueling about paying our costs, they refused to pay taxi costs and took zero responsibility saying they were not obliged to pay us anything (despite the laws saying opposite). We escalated it to a few passenger claim services. It seems we may succeed with one out of 3 of those to get what is due, but it will take a while. Never again with Vueling.",Detractor
"Copenhagen to Ulaanbaatar via Seoul return. Excellent value for money. Cabin clean. Seat very good. Food the best I have eaten on a plane for years. Toilets clean. so helpfull, plenty of smiles. IFE good, many latest released movies, though nothing beats a good book on a long flight. Reguar juice/water runs through the cabin on intercontinetal legs. Hassle free, enjoyable experience flying with Korean Air.",Promoter
" Flew Ukraine International from Bergamo to Bangkok via Kiev. Poor Entertainment, rude staff and tight seats. I cannot eat fish, I've asked for chicken, but the hostess told me ""sorry just fish, You can try to exchange it with other passengers"" and then she left the fish meal on my table.",Detractor
"Efficient check in with a 1.5hr wait in the business class lounge (don't ask!) before boarding on time. 'As new' aircraft which was kept surgically clean throughout the flight. Air traffic control delayed take off 20 minutes and flight deck kept everyone updated regularly. Arrived at the scheduled time. Professional, friendly cabin staff made for a pleasant flight, as did meal and beverage selection. Then into pj's for six or seven hours sleep.",Promoter
" Denver to Salt Lake City. Our flight was canceled with no notification to us due to a payment not going through. It was confirmed to us that our only notification that our flight would be canceled was in small, light grey lettering at the very bottom of our email with the title confirmation saying â€œpayment pendingâ€. This was supposed to indicate that (although everything else looked like a normal confirmation with flight and seating information) our flight would be canceled with no further notification. They said â€œthis happens all the timeâ€ - basically too bad so sad. After a lot of pushback and over an hour on the phone, they gave us our original price of $50. Glad we found an employee willing to help but this airline has serious issues and obviously trying to rip people off.",Detractor
The worst economy flight I have had. The seat was good but the legroom wasn't. The IFE was very nice lots of German movies. Staff were awful. The flight FRA-DXB: Flight was 35 minutes delayed. After take off: Flight attendants went off for about 30 minutes! On our other flights: DXB-SGN: 3 hours delayed SGN-DXB: 1 hour delay. Staff were very slow. They walked 3 times trough the cabin but they didn't see the reclined seat the open seat belt and the fold down table. My bag was on the seat and not in the overhead compartment. The food was good but I will never fly again with Emirates.,Detractor
"  Cancun to Los Angeles via Mexico City. This was the airline from hell. My flight from LAX to Cancun was canceled less than 24 hours before taking off because they were ""no longer operating"" and I couldn't get on another flight for another 6 hours from the original after being denied many times, a supervisor agreed to book another airline. When I landed in Mexico City for my connection the supervisor said it wasn't her problem and I needed to book another flight so I paid an extra $200 to get to Cancun to make the wedding I was going to. On the way back I had booked with The same airline again unfortunately & when I arrive to the airport they tell me my flight is overbooked! How is that possible when I paid for it? They put me on standby and tell me there's nothing they can do but give me food vouchers or airline vouchers. So she tells me instead of my 11am flight I can leave at 1:20 instead but my connecting flight in Mexico City won't leave till 720pm! So I ended up spending entire days in airports because of their stupid excuses and they gave me a ""MasterCard"" I can't even activate LOL because I have to call an international number & when I called the airline they told me I need to email customer relations - I thought I called customer relations! This is by far the worst airline and customer service I've ever encountered!",Detractor
" Hong Kong to Milan. The premium economy cabin has not much difference with the economy. The seats cannot recline much. However, the soft product was really good. The supper was well served and there was a great selection of snacks. Breakfast was awesome with western and Chinese options. Cabin crew was attentive and they served beverage quite frequently. They were very friendly and with good manner.",Promoter
My wife and I booked a round trip flight from New Orleans to Fort Lauderdale Florida to take a 20th Anniversary cruise on Carnival. I did take the time to read the information that Spirit publishes on their website so there were no surprises for us. Beginning with our arrival at the New Orleans airport their employees were all most courteous helpful and this extended throughout both the originating and return flights. Spirit sells you what you want and does not sell you what you don't want or need. We paid for the equivalent of first class seats as well as checked bags and still came out hundreds of dollars less than the cost of first class service on any other airline. Both flights were smooth and on time. The flight crews did a very good job of getting everyone on board and ready to go on time. We would not hesitate to fly them again. I'm thankful they offer the option of a-la- carte flying.,Promoter
" I am a regular customer of United Airlines, and my recent flight in March was in most part enjoyable, with a problem with a delay by weather to start my trip, in turn causing us to miss our connecting flight in Japan, but upon landing, it was announced to the passengers to look for the attendants of your connecting airline to get your rebooked flight ticket with another airline to continue your flight. Along with travel voucher to take us to Tokyo Haneda airport. My wife and I were quite relieved , thinking we would have to stay in Japan and rebook a flight next day (lost time and hassle of trying to reschedule our remaining travel.) UA did a good job of taking care of the passengers on this flight. Our returning flights we received an unexpected upgrade/surprise to be seated in their Economy Premium Plus section, and priority boarding on our last leg. We have flown UA for the last 5 years on international flights and are very satisfied with the service we have received.",Promoter
"  Exemplary customer service experience from Garuda and Singapore Airlines. Our flight scheduled to depart at 15:20 from Pontianak to Jakarta on 27 March, was delayed for 3 hours due to bad weather (heavy thunderstorm). We missed our connecting flight scheduled to depart at 19:00 from Jakarta to Singapore. Upon arrival in Jakarta we brought our case to Garuda customer service and it was promptly processed. There's no flight available for the day so we were put in hotel with dinner and breakfast voucher. The next day Garuda customer service staff went to Singapore Airlines office and they were able to release 2 tickets for us to fly back to Singapore on that day. A gracious and much appreciated act from Garuda and Singapore Air. Thank you!",Promoter
"Boarding for both sectors was done early and by groups. Air traffic control delays at Bogota meant a 25 minute delay arriving into Houston. This flight was operated with a Boeing 737-700 and was packed. Cabin crew were ok if not somewhat lackadaisical. Perhaps it was the midnight departure. Announcements were barely audible. For inflight entertainment, this plane was equipped with DirectTV rather than the airline's far superior wifi delivered personal device entertainment. This meant having to pay to view the only 8 movies available - as the rest of DirectTV's content library is inaccessible outside the continental USA. Big Fail. The cabin was uncomfortably warm throughout the flight and coupled with the older seats, tight pitch and full load made it far less pleasant and also difficult to catch any shut eye. Strangely, a full meal is served on this sector at about 1.30am, which to be honest, wasn't bad. Made me wonder why our outbound to Panama from Newark of a similar duration and more appropriate departure time for a meal service, offered no complimentary catering. The crew did a few water runs until arrival in Houston. Transfer at Houston took longer than I expected owing to slow immigration clearance. However, I boarded the next flight with ample time to settle in. This aircraft was a Boeing 737-900ER with the newer seats, sky interior and wifi delivered entertainment. What a difference. It just felt more spacious. Seats were a bit more comfortable and legroom seemed to be better. Perception is everything I guess. The crew this time were sunnier, cheerful and seemed pleased to be onboard. Pushback was right on time and arrival 18 minutes early. Service consisted of the usual morning beverages and a stroopwaffel. A second round of coffees and a couple of water runs were done as well. All with a smile. This last flight was clearly the best of 3 I took with United over the last 10 days. Pity both the shorter international sectors I experienced were not quite up to scratch and felt more like domestic runs. One thing I find United has excelled at is it's mobile app. In terms of accessible information, actual usability and integrated entertainment - I think it exceeds the capabilities of most other airlines.",Passive
" Newark to Delhi. Miserable employees especially entourage to lengthy nonstop destinations. Seems they should stay and work domestic. Hardly any courtesy or know how to respond to their customers. Maybe they are overworked. I had a terrible experience with a flight attendant who was rude and I mentioned other airline policies, she said well go fly with them then. I was simply asking her a question.",Detractor
" Amsterdam to Doha via Istanbul. I traveled at seat 14D-F with my family. It was behind the exit seats. Seats were really narrow, it was a terrible flight. Additionally, the cabin temperature was high.",Detractor
"London Heathrow to Bologna return in British Airways Club Europe. Very disappointing. The seats are basically the same as economy seats, they just don't sit someone in the middle seat, so no meaningful increase in legroom or width. Food was very average on the way out (salad with very dry prawns, pretty tasteless) but nice on the way back (tagliatelle). Staff were on the whole were good, but given the seats I wouldn't recommend spending the extra money for Club Europe.",Passive
Flew from IAH-IST on November 23rd. Flight attendants yell from one side of the aircraft to the other while passengers try to rest. If this is Europe's Best Airline I can only imagine the other ones.,Detractor
" Myself and friends flew Gulfair to Colchin in Kerala for a nice January break. Unfortunately the holiday didn't get off to a good start as we had a 3hour delay in Heathrow with no warning and this was followed by a 8.5hour delay in Bahrain. We were not provided with any accommodation, food or water. We missed a pre packed hotel night in our final destination. I have contacted the company on multiple occasions but you are unable to speak to their customer care department directly and even though they promise someone will call you back no one does. I would recommend never to fly with them!!",Detractor
 Miami to Newark. I went against my better judgement in booking a round trip flight with them. This airline has by far the worst customer service I have encountered. They lack customer support and assistance when it comes to dealing with flight changes and cancellations over the phone. The representative I spoke with canceled my flight without confirmation and prevented me from flying out to my destination on time. In addition I had to book a flight for double the amount of money out of another airport and United provided no compensation or refund for my inconvenience. I will never fly or recommend this airline again and please all beware of the airline attempting to scam you.,Detractor
Great flight all round! I flew SYD-SIN and really enjoyed my flight on Singapore's A380. The inflight entertainment was great with all the latest movies and TV shows. I was lucky enough to be sitting on the upper deck which offers more cabin space. The food was great and had a good variety of Western and Asian food. The seats were comfortable and had an ok recline. The cabin attendants were friendly and always had a smile!,Promoter
" Cebu to Copenhagen via Dubai. Not an airline that cares about there customers. Almost everything went wrong, and Emirates do not care! As we take off from Clark to Dubai I got About 1 litre of water in my lap, so that I had to sit with wet pants most of the way, and on top of that, the entertainment system was defective. They did not have any food for my 16-month-old son, they would have had if he was on the bottle, but he is on solid food so my wife shared her food whit him, or what she got, for the only thing that they got was half a kids meal. So we had to buy some food when we got to Dubai. On the way back the boarding was a complete chaos we were but in a bus for 40 min. waiting or going around in circles, without any information, before we got to the plane, and there it looked like the one that had to be in front in the plane was dropped on in the back, and the other way around.",Detractor
"Business class on EK 418 BKK-SYD. The flight itself on a 777 was good and my wife and I managed to get a decent rest on the angled seats. Had a very enthusiastic crew serving us with a smile. Dinner was well presented. We missed breakfast as we were asleep. Departure and arrival on time. Aircraft equipped with older ICE but not a problem on this medium haul night flight. Main negatives at check-in and upon arrival. I was very surprised that our reserved seats (9 K and J) were no longer assigned to us even though booked more than 6 months in advance. I am platinum with QF (code share on this flight) so got a bit upset as the check-in staff at the first class check- in in BKK tried to put us in to the middle row of three with one aisle and one middle seat. After rejecting this seat change lady suddenly ""found"" seats 10 K and J for us. Could not work out why our initially reserved seats were no longer available (managed to look at the boarding passes of both passengers sitting in 9 K & J and they had no status with EK or QF). Second negative aspect of the trip during luggage collection at SYD. Even though our 2 suitcases were both properly labeled with ""First"" labels and we checked-in at BKK 2.5 hours prior to departure our suitcases appeared as one of the last items on the belt in Sydney. As I said to my wife first economy passengers of our flight were already checking in to their hotels in Sydney while we were still waiting for our baggage. An overall great flight but check-in at BKK and luggage return in SYD needs to be improved. Also not impressed with the EK Lounge in BKK. Looks new and cozy with good food and drink on offer but the chairs are very uncomfortable.",Passive
"  Houston to San Juan. My experience the worst, with the flights super uncomfortable, there is no internet or anything, but the most uncomfortable is in terms of luggage because they charge for everything. I brought my backpacks and charged me $ 65 - the worst experience I have had. It is preferable pay a few pesos more because the trip was 110 dollars more expensive than a ticket for another air line and with all the amenities. In addition, everything in the plane must be paid out of the trip higher than the rest of the airlines. Mi experiencia la peor con las los vuelos son sÃºper incÃ³modos, no hay internet ni nada, pero lo mÃ¡s incomodo es en cuestiÃ³n del equipaje pues te cobran por todo yo traÃ­a mi mochilas y me cobraron 65 dÃ³lares la peor experiencia que he tenido, es preferible pagar unos pesos de mÃ¡s pues el viaje me saliÃ³ 110 dÃ³lares mÃ¡s mÃ¡s caro que un pasaje por otra aÃ©reo linea y con todas las comodidades. AdemÃ¡s que todo lo que estÃ¡ en el avÃ­on hay que pagarlo saliÃ©ndote el viaje superior que al resto de las aereolineas.",Detractor
NYC to Fort Lauderdale last weekend. The flight cost $340. I ended up paying an extra $150 at the airports to bring my carry on bag. I booked this through a third party and was not warned about this extra charge. The overall price was outrageous. Flight attendants were not the friendliest. When I placed a drink order instead of getting my order the flight attendants hung out at the front of the plane laughing and talking together.,Detractor
"I return from LAX to YVR with Air Canada Rouge. I'm 6'2"". There is no legroom. I had my knees against the front seat and my lower back pressured against my seat the entire flight. Extremely uncomfortable and unmanageable. My knees were half way through my neighbours seats. I have always flown Air Canada to have legroom. This time is now over and they now have lost a long time client. I have flown with low cost carriers in Asia and you expect what you pay for. Here you get less for the same price as before.",Detractor
"  Flew Los Angeles to Milan via Newark. What a horrible experience with United Airlines. This so called company is great at taking your money but if there is one bit of an issue, then you have to speak with a supposed customer service that is in the Philippines and all they do is say ""sorry, so sorry you have a bad opinion of us"". We've been stuck without any clothes or hotel and they basically wash their hands and blame it on the airlines. I used them once before and spent over $15K with them and more of the same. It was my mistake to comeback for a second round of abuse with this so called company.",Detractor
" Geneva to Hong Kong via Beijing. It was the unbeatable price that made me book and try them. One of the myths is that the planes are old. That is true and you see it from the very beginning when boarding the plane. You go through business class and it looks basic as well, just the full flat seats that remind you of business class. Economy is worse, except the seat legroom which I found better than most of the European airlines when flying long haul. The entertainment system is old and has only 1-2 movies in English, and almost unusable. It responds 5 seconds after you've pressed the button (no touch screen), the image quality is bad and the sound even worse. I had to use my headphones in order to understand something. But, the choices of foreign (not Chinese) movies was big and I had some novelties from the US, there were many European movies, a Chilean one and so on, all of them translated into English. The series were lacking the usual suspects from the US so I had to stick with the movies. Even the Chinese ones were subtitled, so after all a good surprise. The flight attendants did everything to make our trip nice and although the knowledge on English is basic (really basic), they struggled to make us feel welcome and asked if we needed something. They provided a blanket for the 3h flight from PEK to HKG. The food was average, but better than some other better considered airlines. For breakfast there was a western style one offered with omelet, chicken sausage and hash browns which wasn't bad at all. When it comes to beverages, the tea was very good, coffee so and so, the juices were nice (orange, apple, tomato) and the beer and wines (Chinese brands) were awful. I only experienced a half an hour delay once, with 12 legs flown in 2 weeks with them, so big surprise, they also land 45 minutes before schedule. Connecting in Beijing is almost a nightmare, but I have survived, give that the connecting time was decent, though not to much in order to get bored. Bottom line, Air China succeeded to impress me. I was expecting the worst and I got a fairly good economy product, better than some other airlines which should be better. I would say, you should give it a try if the price is right.",Passive
LHR-Bilbao. Seats allocated at check-in. Inbound aircraft late and very late gate allocation in terminal 3 which was busy. Arrived at gate to find aircraft just on stand however boarding commenced very quickly. First impressions of aircraft extremely poor. Over 25 aisle armrests broken and removed with temporary tape visible and the carpet was virtually non existent with chewing gum marks all over the place. Toilets had not been cleaned or restocked with paperware and one toilet at the rear had temporary repairs. A very poor impression and even though this is a low cost carrier the fares are not low on this route due to lack of competition. It is also in codeshare with Iberia and presents a poor image of this company too. Service was efficient and friendly to those that wanted to purchase items. Little information with regard to delay of inbound aircraft and announcements unclear and with little confidence in speaking English. Sadly the poor aircraft appearance detracted from a very average experience.,Detractor
I have had a wonderful experience with Air India when I travelled on Delhi-Chicago. Although I was travelling Business it felt like travelling First Class. I appreciate the leg room which their seats provide. Food was very good with sufficient portions. Before travelling with AI I did heard a lot of noise about notorious Cabin crew of AI but my personal opinion is they are much better than Lufthansa United. For sure I would travel only AI now onwards.,Promoter
 Sydney to Melbourne with Qantas. I enjoyed the flight. Check in was very easy. The staff were very friendly and helpful. The meal served was very tasty and it was nice to have a glass of beer. My only complaint was the IFE. It is such a shame that we no longer have access to music on domestic flights. It makes a flight so much more enjoyable. There is no time on a 60-90 minute flight to watch a movie or even a TV show.,Passive
My 4th time transatlantic on Icelandair from Glasgow to Seattle. No complaints. The security process is nothing to do with Icelandair everything to do with EU. Great seats in economy - plenty of room. Food - I eat little while on a journey so not an issue with me so long as there is plenty of water for free. I much prefer Icelandair to any other transatlantic carrier. Baggage allowance is great!,Promoter
"Seattle to John Wayne Orange County. I was very skeptical of the seating strategy Southwest Airlines uses but it was actually quite fast and I was able to find a good seat both directions of my trip. The crew was very nice and responsive. I checked my bag for free, there was a snack, I prefer having a screen but the wifi based TV was pretty good.",Promoter
"Liverpool to Palma return. Outward journey was fine: prompt departure, uneventful flight, efficient - if slightly low key - cabin crew, slightly early arrival. Return journey was delayed because the original incoming aircraft had had to be replaced, but easyJet did what it could to keep us informed. An agent came and waited at the gate for an hour or so to tell passengers of the delay and to provide updates, only leaving when the first of the proper boarding staff arrived. She had actually ended up trying to field more inquiries from passengers waiting at the next gate for a delayed shared Heathrow flight than from easyJet customers. From the time the plane finally arrived, boarding was very swiftly organised and completed in less than half an hour. The flight itself was uneventful and we made up a little time en route, eventually arriving about 90 minutes late. At no time had there been any significant fuss or complaint about the delay, probably because an effort was made to keep us informed.",Promoter
" Rome to Brindisi. I had never booked a flight with Ryanair so I wasn't aware that it was mandatory to check-in prior to arriving at the airport. They charged me a penalty of 121 euros for the two tickets! I didn't receive a text nor email telling me to do so to avoid the fee. I was told by the agent that I should have read the terms and conditions. The site stressed the fees for baggage during the booking but nothing was said of the necessity to check-in online to avoid the fee. If they want everyone to read the fine print, then don't say anything about the bags. I'll think twice before patronizing them in the future.",Detractor
"  Amritsar to Dubai via Doha. Flight from Amritsar to Doha on A321 which was well maintained and legroom was good. The boarding started an hour earlier but not done zone wise and took almost 30 minutes to board the plane. No greetings from crew when boarded. The A321 is full and it would be better, if they deploy a bigger aircraft. The flight attendants were just doing their job and not smiling. Refreshing towel pack handed out and menus were given. Drinks served with meal but no refill offered. Meal served out of Amritsar was not up to 5 star mark and very average dinner. Veg Biryani with one small teaspoon of lentils and tasted bland. Desert of Mango Kheer tasted better. The main course is small. No tea or coffee served after the meal and you have to ask for this. Inflight entertainment was good. But the touch screen option takes longer time to do the action assigned. The good thing about this flight is that it departed 10 minutes before time and reached 20 minutes ahead of its scheduled arrival time. On reaching Doha, bussed to the arrival hall which is just 5 minutes ride. As there is no other flight arrival quickly pass through security for transits and then straight to departure hall. Flight to Dubai on A321 was comfortable. Flight attendants were smiling, attentive and doing their job with passion. Considering it a 5 star airline, no water or welcome drink was served, but a hot snack Box with OJ is served on this 40 minute flight. Hence a quick busy shuttle flight which landed on time and all was good and efficient.",Passive
"Flown with Ryanair from Birmingham to Fuerteventura return for the first time on our recent holiday. We were a party of nine, found the staff =friendly and helpful, plane was clean. CI had read reviews and was not sure what to expect, but could not fault our journey both ways.",Promoter
"  The return American Airlines flight from Buenos Aires to New York JFK was more comfortable than the outbound journey as it is a day flight rather than the time-saving overnight. Again I had a Premium Economy seat paying EY fare and it was quite comfortable, again I say thanks to AA for such member benefits. I think other One World partners should learn to do the same rather than pricing themselves out of the so-called Premium Economy class. Service was normal and efficient. Airport check-in and facilities and Club lounge at EZE are not as good as at NYC though.",Promoter
" Flew on BA 1414 from London Heathrow to Belfast City Airport, January 16th. Check in was fast and efficient as was the boarding process. Breakfast offered on board was good and tasty. We arrived in Belfast 5 minutes ahead of schedule and luggage was out within 10 minutes. Overall good flight and service.",Promoter
