,sentence,class
28,"Advocates of net neutrality believe that, since there are rather limited choices for broadband Internet service, discrimination on the basis of Web content could lead to a loss of freedom for consumers and providers alike",0
29,"By the late 1970s, researchers at many major universities were using the UNIX operating system ,.",0
30,"In 1979, a suite of utilities called UUCP was distributed with the widely used UNIX Version 7.",0
31,These utilities could be used to transfer files between UNIX computers that were linked by some form of telephone or network connection.,0
32,"Two Duke University graduate students, Tom Truscott and Jim Ellis, decided to set up a way in which users on different computers could share a collection of files containing text messages on various topics.",0
33,They wrote a simple set of shell scripts that could be used for distributing and viewing these message files.,0
34,The first version of the news network linked computers at Duke and at the University of North Carolina.,0
35,Soon these programs were revised and rewritten in the C language and distributed to other UNIX users as the “A” release of the News software.,0
36,"During the 1980s, the news system was expanded and features such as moderated newsgroups were added.",0
37,"As the Internet and its TCP/IP protocol , became a more widespread standard for connecting computers, a version of News using the NNTP (Network News Transmission Protocol) over the Internet was released in 1986.",0
38,"Netnews is a mature system today, with news reading software available for virtually every type of computer",0
39,"Netnews postings are simply text files that begin with a set of standard headers, similar to those used in e-mail.",0
40,"(Like e-mail, news postings can have binary graphics or program files attached, using a standard called MIME, for Multipurpose Internet Mail Extensions.",0
41,)The files are stored on news servers—machines that have the spare capacity to handle the hundreds of gigabytes of messages now posted each week.,0
42,"The files are stored in a typical hierarchical UNIX fashion, grouped into approximately 75,000 different newsgroups.",0
43,"As shown in the following table, the newsgroups are broken down into 10 major categories.",0
44,The names of individual groups begin with the major category and then specify subdivisions.,0
45,"For example, the newsgroup comp.",0
46,sys.,0
47,ibm.,0
48,"pc deals with IBM PC-compatible personal computers, while comp.",0
49,os.,0
50,linux deals with the Linux operating system.,0
51,The servers are linked into a branching distribution system.,0
52,"Messages being posted by users are forwarded to the nearest major regional “node” site, which in turn distributes them to other major nodes.",0
53,"In turn, when messages arrive at a major node from another region, they are distributed to all the smaller sites that share the newsfeed.",0
54,"Due to the volume of groups and messages, many sites now choose to receive only a subset of the total newsfeed.",0
55,Sites also determine when messages will expire (and thus be removed from the site).,0
56,There are dozens of different news reading programs that can be used to view the available newsgroups and postings.,0
57,"On UNIX systems, programs such as elm and tin are popular, while other newsreaders cater to Windows, Macintosh, and other systems.",0
58,Major Web browsers such as Netscape and Internet Explorer offer simplified news reading features.,0
59,"To use these news readers, the user accesses a newsfeed at an address provided by the Internet Service Provider (ISP).",0
60,There are also services that let users simply navigate through the news system by following the links on a Web page.,0
61,"The former service called DejaNews, now Google Groups, is the best-known and most complete such site",0
62,"In the 1940s, the main objective in developing the first digital computers was to speed up the process of calculation.",0
63,"In the 1950s, the machines began to be used for more general data-processing tasks by governments and business.",0
64,"By the 1960s, computers were in use in most major academic, government, and business organizations.",0
65,The desire for users to share data and to communicate both within and outside their organization led to efforts to link computers together into networks.,0
66,"Computer manufacturers began to develop proprietary networking software to link their computers, but they were limited to a particular kind of computer, such as a DEC PDP minicomputer, or an IBM mainframe.",0
67,"However, the U. S.  Defense Department, seeing the need for a robust, decentralized network that could maintain links between their computers under wartime conditions, funded the development of a protocol that, given appropriate hardware to bridge the gap, could link these disparate networks ,.",0
68,"According to the OSI (open systems interconnection) model, a network can be considered to be a series of seven layers laid one atop another ,.",0
69,The physical layer is at the bottom.,0
70,"It specifies the physical connections between the computers, which can be anything from ordinary phone lines to cable, fiber optic, or wireless.",0
71,This layer specifies the required electrical characteristics (such as voltage changes and durations that constitute the physical signal that is recognized as either a 1 or 0 in the “bit stream.,0
72,"”The next layer, called the data link layer, specifies how data will be grouped into chunks of bits (frames or packets) and how transmission errors will be dealt with ,.",0
73,The network layer groups the data frames as parts of a properly formed data packet and routes that packet from the sending node to the specified destination node.,0
74,A variety of routing algorithms can be used to determine the most efficient route given current traffic or line conditions.,0
75,The transport layer views the packets as part of a complete transmission of an object (such as a Web page) and ensures that all the packets belonging to that object are sorted into their original sequence at the destination.,0
76,This is necessary because packets belonging to the same message may be sent via different routes in keeping with traffic or line conditions.,0
77,"The session layer provides application programs communicating over the network with the ability to initiate, terminate, or restart an interrupted data transfer.",0
78,The presentation layer ensures that data formats are consistent so that all applications know what to expect.,0
79,"This layer can also provide special services ,.",0
80,"Finally, the application layer gives applications highlevel commands for performing tasks over the network, such as file transfer protocol (ftp)",0
81,A network attached storage (NAS) unit can be thought of as a dedicated data storage unit that is available to all users of a network.,0
82,"Unlike a traditional dedicated file storage unit ,, a NAS unit typically has an operating system and software designed specifically (and only) for providing data storage services.",0
83,"The actual storage is usually provided by an array of hard drives ,.",0
84,"Files on the NAS are accessed through protocols such as SMB (server message block), common on Windows networks, and NFS (network file system), used on many UNIX and some Linux networks.",0
85,"In recent years smaller, lower-cost NAS devices have become available for smaller networks, including home networks, where they can store music, video, and other files ,",0
86,"Although it sounds similar, a storage area network (SAN) does not function as its own file server.",0
87,"Rather, it attaches storage modules such as hard drives or tape libraries to an existing server so that it appears to the server’s operating system as though it were locally attached.",0
88,"Typically the protocol used to attach the storage is SCSI ,, but the physical connection is fiber or high-speed Ethernet.",0
89,"The emphasis for SAN applications is the need for fast access to data, such as in large online databases, e-mail servers, and high-volume file servers.",0
90,"SANs offer great flexibility, since storage can be expanded without changing the network structure, and a replacement server can quickly be attached to the storage in case of hardware failure",0
91,"In the kind of science fiction sometimes called “cyberpunk,”people are able to “jack in” or connect their brains directly tocomputer networks.",0
92,"Because of this direct input into the brain(or perhaps the optic and other sensory nerves), a personwho is jacked in experiences the virtual world as fully real,and can (depending on the world’s rules) manipulate it withhis or her mind.",0
93,"This kind of all-immersive virtual reality isstill science fiction, but today people are beginning to controlcomputers and artificial limbs directly with their minds.",0
94,Neuroprosthetics is the creation of artificial limbs or sensoryorgans that are directly connected to the nervous system.,0
95,"The first (and most widely used) example is the cochlearimplant, which can restore hearing by taking sound signals from a microphone and converting them to electricalimpulses that directly stimulate auditory nerves within thecochlea, a part of the inner ear.",0
96,"Similarly, experimental retinal implants that stimulate optic nerves are beginning tooffer crude but useful vision to certain blind patients.",0
97,"Research in connecting the brain to artificial arms orlegs is still in its early stages, but scientists using microelectrode arrays have been able to record signals from thebrain’s neurons and correlate them to different types ofmotor movements.",0
98,"In a series of experiments at Duke University, researchers first trained a monkey to operate a joystick to move a shape in a video game.",0
99,"They then recordedand analyzed the signals produced by the monkey’s brainwhile playing the game, and correlated them with themotor movements in the joystick.",0
100,"Next, they replicatedthese movements with a robotic arm as the monkey movedthe joystick.",0
101,"Finally, they were able to train the monkey tomove the robotic arm without using the joystick at all, simply by “thinking” about the movements.",0
102,"As more is learned about the detailed functioning of neuronal networks inside the brain, “cognitive prosthetics” maybecome feasible.",0
103,"One example might be computer memory modules that might act as a surrogate or extension ofhuman memory, perhaps helping compensate for loss ofmemory due to age or disease.",0
104,"(Early experiments on interfacing to the hippocampus, a part of the brain important forforming memories, have been underway since 2003.",0
105,")Other possibilities might include processors that couldgive a person the ability to think about a mathematicalproblem and “see” the answer, or to search databases or theWeb simply by visualizing or thinking about the information desired",0
106,"Integers (whole numbers) have the simplest representation, but there are two important considerations: the totalnumber of bits available and whether one bit is used to holdthe sign.",0
107,"Since all numbers are stored as binary digits, an unsignedinteger has a range from 0 to 2bits where “bits” is the totalnumber of bits available.",0
108,"Thus if there are 16 bits available, the maximum value for an integer is 65535.",0
109,"If negativenumbers are to be handled, a signed integer must be used(in most languages such as C, C++, and Java, an integer issigned unless unsigned is specified).",0
110,"Since one bit is usedto hold the sign and each bit doubles the maximum size, itfollows that a signed integer can have only half the rangeabove or below zero.",0
111,"Thus, a 16-bit signed integer can rangefrom -32,768 to 32,767.",0
112,"One complication is that the available sizes of integersdepend on whether the computer system’s native data sizeis 16, 32, or 64 bits.",0
113,"In most cases the native size is 32 bits,so the declaration “int” in a C program on such a machineimplies a signed 32-bit integer that can range from - 231 or-2,147,483,647 to 231-1, or 2,147,483,647.",0
114,"However, if one isusing large numbers in a program, it is important to checkthat the chosen type is large enough.",0
115,"The long specifier isoften used to indicate an integer twice the normal size, or64 bits in this case.",0
116,Numbers with a fractional (decimal) part are usually storedin a format called floating point.,0
117,The “floating” means thatthe location of the decimal point can be moved as necessaryto fit the number within the specified digit range.,0
118,A floatingpoint number is actually stored in four separate parts.,0
119,"Firstcomes the sign, indicating whether the number is negativeor positive.",0
120,"Next comes the mantissa, which contains theactual digits of the number, both before and after the decimal point.",0
121,The radix is the “base” for the number systemused.,0
122,"Finally, the exponent determines where the decimalpoint will be placed.",0
123,"For example, the base 10 number 247.",0
124,35 could be represented as 24735 × 10-2.,0
125,The -2 moves the decimal pointat the end two places to the left.,0
126,"However, floating-pointnumbers are normalized to a form in which there is just onedigit to the left of the decimal point.",0
127,"Thus, 247.",0
128,35 wouldactually be written 2.,0
129,4735 × 102.,0
130,This system is also knownas scientific notation.,0
131,"As noted earlier, actual data storage in modern computers is always in binary, but the same principle applies.",0
132,"According to IEEE Standard 754, 32-bit floating-point numbers use 1 bit for the sign, 8 bits for the exponent, and 23bits for the mantissa (also called the significand, since itexpressed the digits that are significant—that is, guaranteed not to be “lost” through overflow or underflow in processing).",0
133,"The double precision float, declared as a “double”in C programs, uses 1, 11, and 52 bits respectively.",0
134,Many objects are more elaborate or specialized variations ofmore basic objects.,0
135,"For example, in Microsoft Windows thevarious kinds of dialog boxes are specialized versions of thegeneral Window class.",0
136,"Therefore, the specialized versionis created by declaring it to be derived from a “base class.",0
137,"”Put another way, the specialized class inherits the basicdata and functions available in the base (parent) class.",0
138,Theprogrammer can then add new data or functions or modifythe inherited ones to create the necessary behavior for thespecialized class.,0
139,Languages such as C++ allow for a class to be derivedfrom more than one base class.,0
140,This is called multipleinheritance.,0
141,"For example, a Message Window class mightinherit its overall structure from the Window class andits text-display capabilities from the Message class.",0
142,"However, it can sometimes be difficult to keep the relationshipsbetween multiple classes clear.",0
143,"The Java language takes thealternative approach of being limited to only single inheritance of classes, but allowing interfaces (specifications ofhow a class interacts with the program) to be multiplyinherited.",0
144,Different kinds of objects often have analogous methods.,0
145,"For example, suppose there is a series of classes that represent various polygons: square, triangle, hexagon, and so forth.",0
146,Each class has a method called “perimeter” thatreturns the total distance around the edges of the object.,0
147,"Ifeach of these classes is derived from a base polygon class,each class inherits the base class’s perimeter method andadapts it for its own use.",0
148,"Thus, a square might calculateits perimeter simply by multiplying the length of a side byfour, while the rectangle would have to add up differentsized pairs of sides, and so on.",0
149,"In the late 1990s “banner ads” started to appear on Websites, and other forms of advertising soon followed.",0
150,"Companies rushed into the online world, either with the belief thatit had unlimited potential for finding new customers, or outof fear that the competition would get there first.",0
151,"Unfortunately it was hard to measure the actual effectiveness ofads, and Web sites (such as for publications) that lookedto third-party advertising as a source of income found theoutlook bleak in the wake of the bursting of the “dot-combubble” of the early 2000 decade.",0
152,"Only a few years later, however, advertisers using newbusiness models and targeting techniques have made onlineadvertising not only a viable business, but a rapidly growing one.",0
153,"(According to the Interactive Advertsing Bureau,Internet advertising revenue in the United States in 2007was $21.",0
154,"2 billion, up 26 percent from 2005.",0
155,")The effects of the online advertising revolution are rippling outward, impacting traditional advertising mediasuch as newspapers (in particular see craigslist), magazines, and even television.",0
156,"Types of ads include the following:, Banner ads are contained in rectangles, often at the topof the Web page.",0
157,(Sometimes they can mimic dialogboxes from the operating system. ),0
158,"They still accountfor about half of all online advertising, and can appearon sites of all types.",0
159,", Pop-up or pop-under ads appear above or beneath thecurrent window, respectivelyFloating ads appear over the main page content, oftenmoving across the screen.",0
160,", Interstitial ads are displayed before the requestedcontent (such as an article or video) is shown.",0
161,"Theyrun for a specified period of time, although they cansometimes be closed by the viewer.",0
162,Many ads are animated; some even contain video clips.,0
163,"There are also ads formatted for mobile devices, includingtext messages sent to cell phones.",0
164,Google and other large search enginesor portals can make money from advertisers is through“affiliate marketing”; Google’s version is called Ad Sense.,0
165,"Participating Web sites are indexed, and the resulting keywords are matched with ads awaiting placement.",0
166,The sitecarrying the ad generally gets a per-click payment.,0
167,"However, the problem of “click fraud” has also arisen: Scammerscan set up an affiliate site and then use special software togenerate the clicks, while making them come from a varietyof sources.",0
168,"Despite these problems, in 2006 about 40 percent of revenue from online advertising was attributed tosearch-related ads.",0
169,"The dark side of online advertising is found in programsthat are surreptitiously installed on users’ PCs and thendownload and display advertising from shady Web operations ,.",0
170,"While many users nowregularly run programs to block such malware, even legitimate online advertising can irritate users, particularlywhen ads are too prominent, float over (and block) text, orlurk behind the browser window.",0
171,Modern Web browsershave ad-blocking features that work with varying degreesof effectiveness.,0
172,"As with TV, online advertisers increasinglyhave to cope with impatient users who do not have to lookat ads unless they actually want to.",0
173,Advertisers can employ several strategies to keep userswilling to look at ads.,0
174,"One is to make the ad unobtrusiveand brief, and on the way to something the user reallywants to see.",0
175,In 2007 YouTube began such advertising.,0
176,"Another is to provide free versions of software or servicesthat, in exchange for being free, require the user to put upwith some screen real estate being devoted to ads.",0
177,"Finally,as with TV, advertising can be woven into the content itself,such as in online computer games.",0
178,A sensitive area is the attempt to balance advertisers’desire to know as much as possible about consumers’ interestsand buying habits with the same consumers’ concern aboutprotecting their privacy,0
179,"A variety of other frauds and scams appear online or viae-mail with some frequency:, the “419” or “Nigerian money letter” that promises arich cut for helping facilitate a money transfer for adistressed official, fraudulent charitable solicitations, particularly aftersuch disasters as the Asian tsunami or HurricaneKatrina, adoption and marriage scams, educational fraud, such as worthless degrees offeredby unaccredited institutions, dubious employment schemes or “home businesses”involving preparing mailings or medical billing, services that offer to “repair” bad credit ratings, tax-avoidance schemes, often based on nonexistentlegal claims or loopholes",0
180,"Online casinos appeared in 1995, but at first they couldonly be played “for fun,” with no actual money changinghands.",0
181,"That soon changed: In 1996, InterCasino appeared—it would be the first of hundreds of online casinos, sportsbookmakers, and other types of gambling.",0
182,Generally theseoperations are based outside of the United States—Caribbean islands such as Antigua and Curaçao are popular locations.,0
183,"Online casinos offer traditional table games such asblackjack, roulette, and craps.",0
184,Generally odds and payoffsare comparable to those at traditional casinos.,0
185,"Assumingthe game is honest and properly programmed, the house’srevenue comes from a percentage of the amount bet—blackjack having the lowest house percentage and roulette thegreatest.",0
186,Slot machines (which give an even higher percentage to the house) can also be simulated online.,0
187,"Online poker has become very popular, particularly gamessuch as Texas Hold’Em.",0
188,Estimated revenues from onlinepoker in the United States were $2.,0
189,4 billion in 2005.,0
190,"Unlike the case with casino games, online poker playersplay against each other, not the house.",0
191,"The house’s revenuecomes from a “rake,” or percentage, of the pot.",0
192,"Many sitesoffer organized tournaments, and some online players havegone on to win traditional tournaments.",0
193,"(The aptly namedChris Moneymaker won an online tournament, qualifyinghim to enter the 2004 World Series of Poker, which he wenton to win.",0
194,")Like online casinos, online poker is illegal in the UnitedStates.",0
195,"Proponents argue that while any given hand is random, poker in the long run is a game of skill, not chance.",0
196,Agroup called the Poker Players Alliance has been lobbyingto exempt poker from Internet gambling laws.,0
197,"A third type of online gambling is sports betting, whichis legal in many countries but only in Nevada in the UnitedStates.",0
198,The Web has also given sports bettors a forum fordiscussing (or arguing about) teams and their prospects.,0
199,"Online games today range from elaborate war games toopen-ended fantasy worlds to virtual universes that mirror“real-world” activities, including economics, politics, andeven education.",0
200,"The first online games appeared in the late 1970s onPLATO, an educational network, as well as on the earlyInternet of the 1980s.",0
201,"These MUDs (multiuser dungeons)were generally based on pen-and-paper role-playing gamesof the time, notably Dungeons & Dragons.",0
202,"These games were text based, with players typing their characters’ actionsand dialog while the changing world as seen by the players was similarly described.",0
203,"By the early 1990s, however,MUDs had spun off many variants.",0
204,Many were still “hackn’ slash” dungeon games (which were also offered on America Online and other commercial services).,0
205,Many of theseMUD-like games such as AOL’s Neverwinter Nights offeredsimple graphics.,0
206,"Meanwhile other games began to offermore sophisticated social interactions as well as the abilityof players to make their own additions to the game world,including buildings.",0
207,"Today’s online games feature a “persistent world” hosted onone or more servers that grows and develops from day to dayand in which the “avatars” or representatives of thousandsof players interact with game-generated creatures or oneanother, using client software.",0
208,"Players can spend hundredsof hours helping their characters develop skills, increasingtheir levels through experience points gained from successful combat or other activities.",0
209,"Players (and their characters) frequently form organizations such as guilds or clans,because the tougher challenges generally require the cooperation of different types of classes of characters (fighters,healers, and magic-users).",0
210,Modern MM ORPGs began in the late 1990s with suchtitles as Ultima Online and EverQuest.,0
211,The most popularMMORPG in the mid-2000s was World of Warcraft.,0
212,"As with shoppers, investors have increasingly been attractedto the interactivity and ease of online transactions.",0
213,"In addition to allowing stocks to be bought or sold with just a fewclicks, online brokers (also called discount brokers) chargemuch lower transaction fees than their traditional counterparts, typically less than $10 per trade.",0
214,"Some online brokers, such as E*Trade, Scottrade, andTD Ameritrade, were established as Internet brokers.",0
215,"However, traditional brokerages such as Charles Schwab andWaterhouse have also opened online discount brokerages.",0
216,"In addition to fast, inexpensive trading, many onlinebrokers also offer a variety of resources and tools, including stock quotes and charts, research reports, and screening programs to help investors pick the mutual funds orindividual investments that meet their objectives.",0
217,"For moresophisticated investors, some brokers offer simulations fortesting investment strategies and programmed trading,which will execute buy or sell orders automatically depending on specified conditions.",0
218,"Online brokers can specialize, seeking customers whowant to make frequent trades but do not need other support, or investors who are interested in obtaining IPOs (initial public offerings) of up-and-coming companies.",0
219,"Somebrokers may emphasize mutual funds and cater to retirement accounts, while others might offer government or corporate bonds, foreign stocks, “penny stocks,” or more exoticinvestments.",0
220,"The interactivity and low transaction costs in onlineinvesting may encourage people to become involved inhighly speculative penny stocks, options, day trading, foreign exchange markets, and other areas that are not suitablefor most individual investors.",0
221,"While there is a great dealof useful information available online, it is a good idea tobegin by discussing investment goals and potential riskswith a trusted financial adviser.",0
222,"In evaluating a job site it is important to get a feel forthe kinds of jobs offered and the target audience, such asprofessionals, recent graduates, white-collar or service sector jobs, and so on.",0
223,"Other important features to look forinclude:, powerful search or filtering capability, such as by typeof job or employer, keywords in job description, orlocality, the ability to put one’s resume online and edit orupdate it as needed.",0
224,", the ability to have several versions of one’s resumetailored to different types of jobs, automatic e-mail alerts about newly added jobs thatmeet the user’s criteria, privacy protections so that contact information fromresumes is not used for marketing or other nonemployment purposes, lack of fees to job seekers (normally employers are theservice’s source of revenue)",0
225,"A persistent problem in artificial intelligence , is how to provide a software systemwith a model that it can use to reason about a particularsubject or domain.",0
226,"A data model or ontology basically consists of classes to which the relevant objects might belong,relationships between classes, and attributes that objects inthat class can possess.",0
227,"(For implementation of these ideaswithin programming languages, see classes and objectoriented programming.",0
228,")For example, a business ontology might include classessuch as:, Entity—a business or person, Supplier—an Entity that provides wholesale goods orservices, Customer—an Entity that buys the company’s goodsor services, Contractor—an Entity that performs work for thecompany on contract",0
229,"Ontologies can be used to provide guidance to a variety oftypes of programs (for example, see expert system, natural language processing, and software agent).",0
230,"Thusif an automatic news summarizer program encounters astory that includes references to opposing lawyers and legalissues, it could apply an ontology that defines the likelyrelationship of the participants in the case.",0
231,Creating useful ontologies is quite labor intensive interms of the human thinking and coding involved.,0
232,"However, there have been substantial efforts in recent years tocreate anthologies for many fields, particularly in biologyand genetics.",0
233,"The Web Ontology Language (OWL) is apopular tool for creating ontologies that can be used tomake Web content more understandable to programs ,.",0
234,"Meanwhile, an ambitious and long-running projectcalled Cyc (for Encyclopedia) under the direction of Douglas Lenat has been engaged in creating what amounts tovast ontologies for many of the domains included in everyday human life as well as specialized fields of knowledge.",0
235,Alarge portion of this work has been made available as opensource.,0
236,"According to Stallman and many other advocates, “opensource” software is not necessarily free.",0
237,What is requiredis that users receive the full source code (or have it readilyavailable for free or at nominal charge).,0
238,Users are free tomodify or expand the source code to create and distributenew versions of the software.,0
239,"Following a legal mechanismthat Stallman calls “copyleft,” the distributor of opensource software must allow subsequent recipients the samefreedom to revise and redistribute.",0
240,"However, not all software that is billed as open source follows all of Stallman’srequirements, including being copylefted.",0
241,"Formally, opensource software is generally licensed according to variousversions of the General Public License (GPL).",0
242,"The latestversion, GPL3, released in 2007, has been controversial.",0
243,"Among other things, it more aggressively attempts to prevent open-source software from being restricted or otherwise hampered by being combined with patented softwareor proprietary hardware.",0
244,An operating system is an overarching program that manages the resources of the computer.,0
245,"It runs programs andprovides them with access to memory (RAM), input/outputdevices, a file system, and other services.",0
246,"It provides application programmers with a way to invoke system services, andgives users a way to control programs and organize files.",0
247,"The “core” functions include “booting” the system and initializing devices, process management(loading programs intro memory assigning them a share ofprocessing time), and allowing processes to communicatewith the operating system or one another ,.",0
248,"Multiprogramming systems often implement not only processes (running programs) but also threads, or sections ofcode within programs that can be controlled separately.",0
249,"A memory management scheme is used to organize andaddress memory, handle requests to allocate memory, freeup memory no longer being used, and rearrange memory tomaximize the useful amount ,.",0
250,"There is also a scheme for organizing data created orused by programs into files of various types ,.",0
251,Mostoperating systems today have a hierarchical file system thatallows for files to be organized into directories or foldersthat can be further subdivided if necessary,0
252,"Designers of modern operating systems face a numberof continuing challenges:, security, in a world where nearly all computers arenetworked, often continuously ,, the tradeoff between powerful, attractive functionssuch as scripting and the security vulnerabilities theytend to present, the need to provide support for new applications suchas streaming audio and video ,, ease of use in installing new devices ,The continuing development of new user-interfaceconcepts, including alternative interfaces for the disabled and for special applications ,, the growing use of multiprocessing and multiprogramming, requiring coordination of processors sharingmemory and communicating with one another ,, distributed systems where server programs, clientprograms, and data objects can be allocated amongmany networked computers, and allocations continually adjusted or balanced to reflect demand on thesystem ,, the spread of portable, mobile, and handheld computers and computers embedded in devices such asengine control systems ,.",0
253,(Sometimes the choice isbetween devising a scaled-down version of an existing operating system and designing a new OS that isoptimized for devices that may have limited memoryand storage capacity. ),0
254,"Generally speaking, the levels of precedence for mostlanguages are as follows:1.  scope resolution operators (specify local v.  globalversions of a variable)2.  invoking a method from a class, array subscript,function call, increment or decrement3.",0
255,"size of (gets number of bytes in an object), addressand pointer dereference, other unary operators(such as “not” and complement); creation and deallocation functions; type casts 4.  class member selection through a pointer5.",0
256,"multiplication, division, and modulus6.",0
257,addition and subtraction7.,0
258,left and right shift operators8.,0
259,less than and greater than9.,0
260,equal and not equal operators10.,0
261,"bitwise operators (AND, then exclusive OR, inclusive OR)11.  logical operators (AND, then OR)12.  assignment statements",0
262,"Today it is easy to optically scan text or graphics printed onpages and convert it into a graphical representation for storage in the computer ,.",0
263,"However, a shape suchas a letter c doesn’t mean anything in particular as a graphic.",0
264,"Optical character recognition (OCR) is the process of identifying the letter or other document element that correspondsto a given part of the scanned image and converting it tothe appropriate character ,.",0
265,"Ifthe process is successful, the result is a text document thatcan be manipulated in a word processor, database, or otherprogram that handles text.",0
266,Raymond Kurzweil (1948– )marketed the first commercially practicable general-purposeoptical character recognition system in 1978.,0
267,"Once the document page has been scanned into an imageformat, there are various ways to identify the characters.",0
268,One method is to use stored templates that indicate the pattern of pixels that should correspond to each character.,0
269,"Generally, a threshold of similarity is defined so that an exactmatch is not necessary to classify a character: The templatemost similar to the character is chosen.",0
270,Some systems storea set of templates for each of the fonts most commonly foundin printed text.,0
271,(Recognizing cursive writing is a much morecomplex process: See handwriting recognition.,0
272,)A more generalized method uses structural features(such as “all t’s have a single vertical line and a shortercrossbar line”) to classify characters.,0
273,"To analyze a character,the different types of individual features are identified andthen compared to a set of rules to determine the charactercorresponding to that particular combination of features.",0
274,Sometimes thresholds or “fuzzy logic” are used to decidethe probable identity of a character.,0
275,"Jaguar, panther, tiger, and leopard—these and other namesof sleek big cats represent versions of Apple’s Macintoshoperating system, OS X (pronounced “OS 10”—see AppleCorporation and Macintosh).",0
276,"Unlike the previous MacOS, OS X, while broadly maintaining Apple’s user interfacestyle ,, is based on a version of UNIXcalled OpenStep, developed by NeXT starting in the 1980s,.",0
277,"OS X development began when Steve Jobsreturned as Apple CEO in 1997 ,and the company bought NeXT, acquiring the software.",0
278,"Thefirst version, OS X 10.",0
279,"0, or Cheetah, was released in 2001,but the system was not widely used until 10.",0
280,1 (Puma) wasreleased later the same year.,0
281,"At the core of OS X is a free and open-source version ofUNIX called “Darwin,” with a kernel called XNU.",0
282,On top ofthis Apple built a distinctive and subtly colorful user interface called Aqua and a new version of the Macintosh Finderfile and program management system,0
283,Today OS X includes a variety of useful software packages—some free and some optional.,0
284,"These include iLife (digitalmedia management), iWork (productivity), and Front Row(home media center).",0
285,OS X10.,0
286,"5 also includes Time Machine,an automatic backup system that can restore files (includingdeleted files) as well as earlier system settings.",0
287,"For software developers, OS X provides an integrateddevelopment environment called “Xcode,” which workswith modified open-source compilers for major programming languages, including C, C++, and Java.",0
288,"Further,because OS X is UNIX-based, many UNIX and Linux programs can be recompiled to run on it.",0
289,Since mid-2005 Apple(and OS X) have been transitioning from the earlier IBM/Motorola processors to Intel processors.,0
290,"This transition waslargely complete by 2007, though OS X 10.",0
291,5 (Leopard) stillprovides support for applications written for the PowerPC.,0
292,"OS X has been well received by critics, and together withits bundled software has made the Macintosh a popularplatform for users who want a seamless computing experience, particularly with regard to graphics and media.",0
293," With a parallel connection, however, the eight bitsof the byte are sent simultaneously, each along its own wire,so parallel ports are generally faster than serial ports.",0
